file_name,question,target_answer,iteration,current_table,key_value,current_chain
csv/203-csv/611.csv,which member of the 500 club has the least amount of home runs?,Eddie Murray,0,"col : Player | HR | Date reached 500 HR | Team | Seasons played
row 1 : Barry Bonds | 762 | April 17, 2001 | San Francisco Giants | 1986–2007
row 2 : Hank Aaron | 755 | July 14, 1968 | Atlanta Braves | 1954–1976
row 3 : Babe Ruth | 714 | August 11, 1929 | New York Yankees | 1914–1935
row 4 : Willie Mays | 660 | September 13, 1965 | San Francisco Giants | 1951–1952,\n1954–1973
row 5 : Alex Rodriguez | 654 | August 4, 2007 | New York Yankees | 1994–
row 6 : Ken Griffey, Jr. | 630 | June 20, 2004 | Cincinnati Reds | 1989–2010
row 7 : Jim Thome | 612 | September 16, 2007 | Chicago White Sox | 1991–2012
row 8 : Sammy Sosa | 609 | April 4, 2003 | Chicago Cubs | 1989–2005,\n2007
row 9 : Frank Robinson | 586 | September 13, 1971 | Baltimore Orioles | 1956–1976
row 10 : Mark McGwire | 583 | August 5, 1999 | St. Louis Cardinals | 1986–2001
row 11 : Harmon Killebrew | 573 | August 10, 1971 | Minnesota Twins | 1954–1975
row 12 : Rafael Palmeiro | 569 | May 11, 2003 | Texas Rangers | 1986–2005
row 13 : Reggie Jackson | 563 | September 17, 1984 | California Angels | 1967–1987
row 14 : Manny Ramirez | 555 | May 31, 2008 | Boston Red Sox | 1993–2011
row 15 : Mike Schmidt | 548 | April 18, 1987 | Philadelphia Phillies | 1972–1989
row 16 : Mickey Mantle | 536 | May 14, 1967 | New York Yankees | 1951–1968
row 17 : Jimmie Foxx | 534 | September 24, 1940 | Boston Red Sox | 1925–1942,\n1944–1945
row 18 : Ted Williams | 521 | June 17, 1960 | Boston Red Sox | 1939–1942,\n1946–1960
row 19 : Willie McCovey | 521 | June 30, 1978 | San Francisco Giants | 1959–1980
row 20 : Frank Thomas | 521 | June 28, 2007 | Toronto Blue Jays | 1990–2008
row 21 : Ernie Banks | 512 | May 12, 1970 | Chicago Cubs | 1953–1971
row 22 : Eddie Mathews | 512 | July 14, 1967 | Houston Astros | 1952–1968
row 23 : Mel Ott | 511 | August 1, 1945 | New York Giants | 1926–1947
row 24 : Gary Sheffield | 509 | April 17, 2009 | New York Mets | 1988–2009
row 25 : Eddie Murray | 504 | September 6, 1996 | Baltimore Orioles | 1977–1997
","['f_sort_by', ['HR']]",f_sort_by(['HR']) -> 
csv/204-csv/615.csv,how many games did at least 1500 people attend?,11,,,,
csv/203-csv/470.csv,which month were the least amount of games held in?,April,,,,
csv/204-csv/786.csv,who received the least amount of votes?,Karen Olsson,0,"col : Riding | Candidate | Gender | Residence | Occupation | Votes | % | Rank | Biographical notes
row 1 : Cape Breton—Canso | Mark MacNeill | M | Inverness | Government and Business Policy Advisor | 7,660 | 21.1 | 3rd | Served in Ottawa as a consultant with National Advisory Board on Science and Technology, with the Treasury Board Secretariat and the Solicitor General's Aboriginal Policing Secretariat.
row 2 : Central Nova | Mary Louise Lorefice | F | Antigonish | Retired educator | 7,659 | 19.6 | 3rd | Lorefice is a retired teacher from Antigonish, who has lived in the community for 38 years.
row 3 : Cumberland—Colchester—Musquodoboit Valley | Karen Olsson | F | North River | Stay-at-home Mother | 4,874 | 12.3 | 2nd | nan
row 4 : Dartmouth—Cole Harbour | Brad Pye | M | Ottawa, ON | Senior Political Party Program Officer | 12,793 | 31.5 | 2nd | Pye is an international development worker and son of former Dartmouth North MLA Jerry Pye.
row 5 : Halifax | Megan Leslie | F | Halifax | Community Legal Worker | 19,252 | 42.7 | 1st | nan
row 6 : Halifax West | Tamara Lorincz | F | Halifax | Director of Nova Scotia Environment Network | 12,201 | 29.6 | 2nd | An environmentalist.
row 7 : Kings—Hants | Carol E. Harris | F | Wolfville | University Professor | 8,291 | 22.0 | 3rd | She was the NDP's candidate in the 2000 election in Esquimalt—Juan de Fuca.
row 8 : Sackville—Eastern Shore | Peter Stoffer | M | Windsor Junction | Parliamentarian | 24,279 | 61.4 | 1st | Stoffer has been the incumbent MP since 1997.
row 9 : South Shore—St. Margaret's | Gordon S. Earle | M | Upper Tantallon | Retired Public Servant | 13,456 | 33.7 | 2nd | Earle is the former federal MP for Halifax West (1997–2000). Has run in this riding unsuccessfully in 2004 and 2006.
row 10 : Sydney—Victoria | Wayne McKay | M | Sydney | Teacher | 8,559 | 24.4 | 2nd | nan
row 11 : West Nova | George Barron | M | Bear River | Paramedic | 7,097 | 16.9 | 3rd | Barron was born near Paris, Ontario, he has been a paramedic for 22 years. He was nominated on October 28, 2007.
row 12 : Cape Breton—Cans | Mark MacNeill | M | Inverness | Government and Business Policy Advisor | 7,660 | 21.1 | 3rd | Served in Ottawa as a consultant with National Advisory Board on Science and Technology, with the Treasury Board Secretariat and the Solicitor General's Aboriginal Policing Secretariat.
row 13 : Central Nov | Mary Louise Lorefice | F | Antigonish | Retired educator | 7,659 | 19.6 | 3rd | Lorefice is a retired teacher from Antigonish, who has lived in the community for 38 years.
row 14 : Cumberlad—Colchester—Musquodoboit Valley | Karen Olsson | F | North River | Stay-at-home Mother | 4,874 | 12.3 | 2nd | nan
row 15 : Dartmouth—ole Harbour | Brad Pye | M | Ottawa, ON | Senior Political Party Program Officer | 12,793 | 31.5 | 2nd | Pye is an international development worker and son of former Dartmouth North MLA Jerry Pye.
row 16 : Halfax | Megan Leslie | F | Halifax | Community Legal Worker | 19,252 | 42.7 | 1st | nan
row 17 : Halifx West | Tamara Lorincz | F | Halifax | Director of Nova Scotia Environment Network | 12,201 | 29.6 | 2nd | An environmentalist.
row 18 : King—Hants | Carol E. Harris | F | Wolfville | University Professor | 8,291 | 22.0 | 3rd | She was the NDP's candidate in the 2000 election in Esquimalt—Juan de Fuca.
row 19 : Sackille—Eastern Shore | Peter Stoffer | M | Windsor Junction | Parliamentarian | 24,279 | 61.4 | 1st | Stoffer has been the incumbent MP since 1997.
row 20 : Sout Shore—St. Margaret's | Gordon S. Earle | M | Upper Tantallon | Retired Public Servant | 13,456 | 33.7 | 2nd | Earle is the former federal MP for Halifax West (1997–2000). Has run in this riding unsuccessfully in 2004 and 2006.
row 21 : Sydey—Victoria | Wayne McKay | M | Sydney | Teacher | 8,559 | 24.4 | 2nd | nan
row 22 : Wet Nova | George Barron | M | Bear River | Paramedic | 7,097 | 16.9 | 3rd | Barron was born near Paris, Ontario, he has been a paramedic for 22 years. He was nominated on October 28, 2007.
","['f_select_column', ['Votes']]",f_select_column(['Votes']) -> 
csv/204-csv/786.csv,who received the least amount of votes?,Karen Olsson,1,"col : Votes
row 1 : 7,660
row 2 : 7,659
row 3 : 4,874
row 4 : 12,793
row 5 : 19,252
row 6 : 12,201
row 7 : 8,291
row 8 : 24,279
row 9 : 13,456
row 10 : 8,559
row 11 : 7,097
row 12 : 7,660
row 13 : 7,659
row 14 : 4,874
row 15 : 12,793
row 16 : 19,252
row 17 : 12,201
row 18 : 8,291
row 19 : 24,279
row 20 : 13,456
row 21 : 8,559
row 22 : 7,097
","['f_sort_by', ['Votes']]",f_select_column(['Votes']) -> f_sort_by(['Votes']) -> 
csv/204-csv/786.csv,who received the least amount of votes?,Karen Olsson,2,"col : Votes
row 1 : 8,559
row 2 : 8,559
row 3 : 8,291
row 4 : 8,291
row 5 : 7,660
row 6 : 7,660
row 7 : 7,659
row 8 : 7,659
row 9 : 7,097
row 10 : 7,097
row 11 : 4,874
row 12 : 4,874
row 13 : 24,279
row 14 : 24,279
row 15 : 19,252
row 16 : 19,252
row 17 : 13,456
row 18 : 13,456
row 19 : 12,793
row 20 : 12,793
row 21 : 12,201
row 22 : 12,201
","['f_select_row', ['row 11', 'row 12']]","f_select_column(['Votes']) -> f_sort_by(['Votes']) -> f_select_row(['row 11', 'row 12']) -> "
csv/204-csv/335.csv,did jim osborne win any titles at least once on a grass court?,yes,,,,
csv/203-csv/823.csv,"which model has a thrust of at least 12,000 kg?",AL-31,,,,
csv/204-csv/482.csv,are there at least 2 nationalities on the chart?,yes,,,,
csv/203-csv/770.csv,"at least of 50% of the population is protestant, starting at which age range?",60 to 64,0,"col : Ages attained (years) | Catholic | Protestant and other Christian | Other Religion | None or not stated
row 1 : 0 to 4 | 44.3% | 31.7% | 0.9% | 23.2%
row 2 : 5 to 9 | 45.5% | 36.1% | 0.7% | 17.7%
row 3 : 10 to 14 | 45.9% | 37.9% | 0.6% | 15.6%
row 4 : 15 to 19 | 44.8% | 37.6% | 0.6% | 17.0%
row 5 : 20 to 24 | 43.4% | 35.2% | 0.7% | 20.7%
row 6 : 25 to 29 | 44.8% | 33.1% | 1.1% | 21.0%
row 7 : 30 to 34 | 44.0% | 34.3% | 1.4% | 20.3%
row 8 : 35 to 39 | 41.5% | 37.8% | 1.2% | 19.5%
row 9 : 40 to 44 | 40.4% | 41.1% | 0.9% | 17.7%
row 10 : 45 to 49 | 40.0% | 42.8% | 0.8% | 16.3%
row 11 : 50 to 54 | 39.2% | 44.9% | 0.7% | 15.1%
row 12 : 55 to 59 | 38.1% | 46.5% | 0.8% | 14.6%
row 13 : 60 to 64 | 35.8% | 50.0% | 0.7% | 13.4%
row 14 : 65 to 69 | 33.7% | 54.4% | 0.7% | 11.2%
row 15 : 70 to 74 | 32.9% | 56.4% | 0.7% | 10.1%
row 16 : 75 to 79 | 32.0% | 58.1% | 0.6% | 9.3%
row 17 : 80 to 84 | 30.0% | 60.0% | 0.6% | 9.3%
row 18 : 85 to 89 | 28.1% | 61.8% | 0.5% | 9.6%
row 19 : 90 and over | 25.8% | 64.0% | 0.5% | 9.6%
","['f_select_column', ['Ages attained (years)', 'Protestant and other Christian']]","f_select_column(['Ages attained (years)', 'Protestant and other Christian']) -> "
